inter_status_id,status
1,ACTIVE
2,SUSPENDED
3,UNRECOVERABLE ACCOUNTS
4,INACTIVE
5,
6,PROSPECT
7,CLIENT IN REPRESENTATIVE TERRITORY
8,DELINQUENT
9,ACTIVE LEGAL
10,SUSPENDED LEGAL
