jurisdiction_id,jurisdiction,jurisdiction_description
1,SAM,Samoa
2,PMA,Panama
3,NEV,Nevada
4,UK,United Kingdom
5,SGP,Singapore
6,RAK,Ras Al Khaimah
7,IOM,Isle Of Man
8,ANG,British Anguilla
9,SEY,Seychelles
10,NIUE,Niue
11,UY,Uruguay
12,BVI,British Virgin Islands
13,HK,Hong Kong
14,NZL,New Zealand
15,BAH,Bahamas
16,CYP,Cyprus
17,MLT,Malta
18,BLZ,Belize
19,JSY,Jersey
20,WYO,Wyoming
21,CRI,Costa Rica
